id;code;name;description;settings
1;po;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders
2;ol;incubate;interfaces;Garden Dale Wallis and Futuna
3;ge;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account
4;ba;Iran;Philippine Peso Metal;Strategist
5;ca;mindshare Gorgeous;Chips;navigating
6;So;Benin;Tuna Response invoice;alarm Jamaica
7;sy;hack;leading-edge;Ergonomic Steel Gloves
8;De;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
9;No;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station
10;pa;Branding Dynamic black;yellow;Books Generic
